 ,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,103.8,100.9,100.8,101.6,101.7,100.4,100.3,101.1,100.9,101.1,101.1,101.2,101.1,102.4,100.3,101.4,101.7,101,101.3,100.7,99.8,100,100.5,100.5
2,103.4,102.5,101.8,102.2,101.9,101.6,100.4,102.2,102.2,103,102.5,102.1,102.2,103.6,101.2,102,102.1,101.4,101.3,100.6,100,100.4,100.2,100.7
3,100.2,100.8,99.5,99.2,99.3,98.9,99.3,99.2,99.4,100.8,100.1,99.5,99.8,103,99.8,100.8,102.2,100.2,99.8,99.6,100.2,100.6,100.2,99.7
4,101,100.1,99.4,101.6,99.4,99.3,99.5,100,100,100.5,100.6,100.2,100.5,102.2,100.3,100.1,103.3,100.1,100,100.1,100.1,100.3,100,100.1
5,101.8,99.5,99.5,101.4,99.6,99.4,99.8,100.3,99.9,100.9,100.5,100.6,100.8,103.9,100.4,100.3,102.2,100.2,99.9,100.2,100.2,100.5,99.5,100.5
6,100.8,99.5,100.1,100,99.7,99.5,100,100.1,99.7,100.8,100.4,100.4,100.9,102.1,100.6,100.2,101.1,99.7,100.1,100.3,100.3,100.5,99.8,100.6
7,100,99.3,100.2,99.5,99.6,99.4,99.8,99.9,99.7,100.5,100.4,100.4,100.9,101.1,100.5,100.1,101.2,99.7,100.3,100.2,100.1,100.1,100.1,99.9
8,100.3,99.6,100.1,101.1,99.6,100.1,100,100.1,99.9,100.6,100.4,100.4,100.6,101.6,100.2,100.2,100.9,100.6,100.8,100.2,99.9,100.1,100.9,100.5
9,100.5,100.3,100.6,101,99.4,99.8,100.5,100.2,100.1,100.3,100.8,100.3,100.5,100.2,100.6,101.3,100.8,102.2,101.1,100.4,99.8,100.5,100.6,100.6
10,100.1,100.1,100.3,100.3,99,100.1,100,100.3,99.8,100,100.4,100.2,100.7,99.8,100.4,101.1,100.4,100.8,100.5,100.1,100.1,100.8,100.4,100.3
11,100.1,100.9,100.3,100.1,100.4,100.9,100.2,100.3,100.6,100.2,100.4,100.6,101.2,99.2,100.6,101.9,100.4,100.5,100.3,99.7,100.1,100.5,100.1,99.7
12,100.3,101,101,100.8,100.5,100.1,101,100.3,100.8,100.6,100.8,100.5,102.9,99.3,101.4,102,100.5,100.3,100.5,99.8,100,100.2,100.2,99.7
